"Date","Price","Open","High","Low","Vol.","Change %"
"05/30/2025","205.86","205.07","205.97","203.56","24.92M","-0.13%"
"05/29/2025","206.12","206.95","207.06","204.47","32.80M","0.30%"
"05/28/2025","205.51","207.71","208.03","205.20","26.05M","-1.05%"
"05/27/2025","207.70","205.64","207.75","204.16","31.66M","2.54%"
"05/23/2025","202.56","199.78","203.26","199.65","29.11M","-0.31%"
"05/22/2025","203.20","202.29","204.37","201.53","31.83M","0.00%"
"05/21/2025","203.21","206.63","207.61","202.84","36.70M","-2.81%"
"05/20/2025","209.08","208.66","209.76","207.96","22.05M","0.05%"
"05/19/2025","208.97","206.80","209.09","206.26","25.86M","-0.42%"
"05/16/2025","209.85","208.42","210.13","207.78","28.91M","0.83%"
"05/15/2025","208.13","206.58","208.19","205.39","21.56M","0.65%"
"05/14/2025","206.78","208.04","208.54","206.53","26.32M","-0.89%"
"05/13/2025","208.63","208.93","209.61","207.96","28.30M","0.37%"
"05/12/2025","207.87","208.84","209.73","205.82","38.21M","3.52%"
"05/09/2025","200.81","201.54","202.28","199.96","17.20M","-0.18%"
"05/08/2025","201.18","199.77","202.74","198.26","32.65M","1.90%"
"05/07/2025","197.42","198.10","198.56","196.04","24.03M","0.33%"
"05/06/2025","196.77","196.59","198.59","195.64","24.64M","-1.09%"
"05/05/2025","198.94","198.57","200.50","198.08","20.83M","-0.77%"
"05/02/2025","200.48","198.33","201.21","198.18","30.20M","2.25%"
"05/01/2025","196.07","195.71","197.67","193.74","33.17M","0.62%"
"04/30/2025","194.86","193.14","195.48","190.72","29.05M","-0.63%"
"04/29/2025","196.09","194.47","196.86","193.01","20.12M","0.59%"
"04/28/2025","194.94","194.50","196.15","192.53","22.48M","0.42%"
"04/25/2025","194.12","192.72","194.26","191.55","25.03M","0.03%"
"04/24/2025","194.06","190.76","194.37","189.89","29.82M","2.00%"
"04/23/2025","190.25","192.92","195.51","189.84","44.87M","1.48%"
"04/22/2025","187.47","185.15","188.10","184.55","34.48M","2.59%"
"04/21/2025","182.74","185.00","185.29","180.76","26.02M","-2.01%"
"04/17/2025","186.48","184.99","187.43","184.46","42.36M","0.82%"
"04/16/2025","184.97","185.70","186.73","182.56","35.06M","-0.96%"
"04/15/2025","186.76","186.34","189.05","185.84","30.72M","0.12%"
"04/14/2025","186.53","187.81","187.97","183.05","35.21M","1.18%"
"04/11/2025","184.36","181.14","184.85","178.58","44.95M","1.46%"
"04/10/2025","181.71","184.52","185.48","176.98","67.50M","-4.20%"
"04/09/2025","189.68","172.72","192.11","171.74","123.02M","8.50%"
"04/08/2025","174.82","185.69","185.92","172.34","61.09M","-2.63%"
"04/07/2025","179.55","174.32","190.25","171.73","96.71M","-0.91%"
"04/04/2025","181.19","182.61","184.05","176.67","92.61M","-4.46%"
"04/03/2025","189.65","193.11","195.06","189.20","60.55M","-6.42%"
"04/02/2025","202.66","196.78","203.33","196.54","36.60M","1.58%"
"04/01/2025","199.51","198.99","201.23","196.66","26.05M","0.01%"
"03/31/2025","199.49","197.48","200.64","195.49","32.25M","-0.48%"
"03/28/2025","200.45","204.54","204.58","199.38","26.66M","-2.03%"
"03/27/2025","204.61","205.33","206.35","203.76","23.96M","-0.48%"
"03/26/2025","205.59","207.96","208.82","204.68","19.42M","-1.02%"
"03/25/2025","207.70","208.69","209.27","207.09","17.84M","-0.56%"
"03/24/2025","208.86","206.96","209.23","206.69","25.77M","2.49%"
"03/21/2025","203.79","202.72","204.41","201.76","39.47M","-0.62%"
"03/20/2025","205.06","204.32","207.30","204.20","25.67M","-0.63%"
"03/19/2025","206.37","203.35","207.68","202.90","31.60M","1.56%"
"03/18/2025","203.21","203.85","203.92","202.35","22.89M","-1.09%"
"03/17/2025","205.45","202.71","206.02","202.60","26.95M","1.26%"
"03/14/2025","202.89","200.24","203.07","199.34","34.09M","2.42%"
"03/13/2025","198.10","201.27","202.02","197.00","31.34M","-1.49%"
"03/12/2025","201.10","203.05","203.75","199.55","36.88M","0.17%"
"03/11/2025","200.75","201.12","203.22","198.53","51.51M","-0.01%"
"03/10/2025","200.77","203.44","204.74","198.75","39.44M","-2.52%"
"03/07/2025","205.95","204.97","207.11","201.73","43.51M","0.33%"
"03/06/2025","205.28","205.78","208.12","203.90","39.21M","-1.53%"
"03/05/2025","208.47","206.45","208.84","204.82","35.78M","0.99%"
"03/04/2025","206.42","205.93","209.77","203.19","56.43M","-1.13%"
"03/03/2025","208.78","215.40","215.96","207.42","36.33M","-2.73%"
"02/28/2025","214.65","211.64","214.66","210.96","32.02M","1.06%"
"02/27/2025","212.39","215.64","216.49","212.22","29.38M","-1.53%"
"02/26/2025","215.68","216.06","218.41","214.84","25.46M","0.13%"
"02/25/2025","215.41","216.37","217.27","213.49","33.67M","-0.38%"
"02/24/2025","216.23","218.79","218.79","215.15","30.25M","-0.72%"
"02/21/2025","217.80","226.00","226.36","217.46","45.04M","-2.88%"
"02/20/2025","224.26","226.01","226.19","223.01","18.51M","-0.96%"
"02/19/2025","226.43","225.41","227.15","225.08","16.19M","-0.34%"
"02/18/2025","227.21","226.15","227.67","225.51","15.17M","0.55%"
"02/14/2025","225.97","227.27","227.98","225.61","13.57M","-0.08%"
"02/13/2025","226.14","225.04","226.34","223.75","21.42M","1.13%"
"02/12/2025","223.62","222.26","224.48","221.79","25.57M","-0.92%"
"02/11/2025","225.70","225.05","226.42","224.80","18.22M","-0.58%"
"02/10/2025","227.02","227.37","227.52","225.86","14.57M","0.45%"
"02/07/2025","226.00","228.85","229.25","225.58","28.91M","-1.16%"
"02/06/2025","228.65","230.51","230.70","227.30","18.81M","-0.33%"
