Date,P1_QQQ_vs_IWM_Cumulative_Growth,P2_SPY_vs_IWM_Cumulative_Growth,P3_Long_QQQ_Cumulative_Growth,P4_Long_SPY_Cumulative_Growth,P5_Long_IWM_Cumulative_Growth
2021-06-01,97.06,97.54,99.67,99.91,101.14
2021-06-02,97.2,97.62,99.86,100.07,101.26
2021-06-03,96.8,98.56,98.82,99.7,100.41
2021-06-04,99.32,99.52,100.49,100.61,100.84
2021-06-07,97.24,96.64,100.79,100.51,102.19
2021-06-08,95.22,94.56,100.84,100.53,103.28
2021-06-09,96.6,95.6,100.86,100.38,102.59
2021-06-10,100.46,98.3,101.91,100.84,101.67
2021-06-11,98.86,96.52,102.18,101.01,102.75
2021-06-14,101.36,97.54,103.16,101.23,102.45
2021-06-15,100.64,97.76,102.49,101.05,102.15
2021-06-16,100.32,97.06,102.11,100.48,101.94
2021-06-17,105.1,99.24,103.4,100.45,100.8
2021-06-18,108.06,100.44,102.59,98.78,98.51
2021-06-21,104.8,99.02,103.11,100.19,100.62
2021-06-22,105.76,99.18,104.07,100.72,101.07
2021-06-23,105.2,98.28,104.12,100.6,101.4
2021-06-24,103.62,96.64,104.77,101.19,102.83
2021-06-25,103.04,97.02,104.64,101.56,103.01
2021-06-28,107.04,99.0,105.91,101.76,102.2
2021-06-29,108.72,100.06,106.29,101.81,101.71
2021-06-30,108.38,100.2,106.12,101.89,101.72
2021-07-01,106.7,99.54,106.16,102.45,102.61
2021-07-02,110.9,102.96,107.38,103.23,101.64
2021-07-06,114.66,105.5,107.84,103.04,100.16
2021-07-07,116.94,108.06,108.07,103.4,99.23
2021-07-08,117.58,108.28,107.42,102.57,98.32
2021-07-09,114.6,106.2,108.09,103.66,100.39
2021-07-12,115.22,106.76,108.51,104.04,100.47
2021-07-13,118.98,109.84,108.51,103.68,98.58
2021-07-14,122.42,113.22,108.71,103.84,97.07
2021-07-15,122.16,113.68,107.94,103.49,96.51
2021-07-16,123.0,114.58,107.07,102.68,95.32
2021-07-19,124.36,114.62,106.19,101.16,93.89
2021-07-20,120.48,111.28,107.42,102.61,96.81
2021-07-21,118.58,109.46,108.25,103.44,98.47
2021-07-22,123.08,113.06,108.97,103.65,96.91
2021-07-23,124.48,114.18,110.24,104.72,97.36
2021-07-26,124.06,114.1,110.33,104.98,97.64
2021-07-27,124.2,115.52,109.11,104.5,96.5
2021-07-28,122.02,112.5,109.53,104.46,97.92
2021-07-29,120.84,111.78,109.73,104.89,98.67
2021-07-30,121.12,112.12,109.16,104.37,98.02
2021-08-02,122.14,112.7,109.17,104.15,97.53
2021-08-03,122.54,113.5,109.83,105.0,97.93
2021-08-04,125.32,115.02,109.99,104.48,96.71
2021-08-05,122.98,112.68,110.68,105.14,98.45
2021-08-06,120.88,111.8,110.19,105.32,99.05
2021-08-09,122.34,112.74,110.39,105.24,98.5
2021-08-10,120.92,112.58,109.83,105.36,98.7
2021-08-11,119.6,112.1,109.64,105.63,99.18
2021-08-12,120.8,113.18,110.04,105.94,98.95
2021-08-13,123.32,115.36,110.42,106.13,98.05
2021-08-16,125.26,117.7,110.47,106.39,97.13
2021-08-17,125.94,118.82,109.49,105.69,95.95
2021-08-18,125.76,118.38,108.44,104.53,95.11
2021-08-19,129.12,121.08,108.96,104.69,93.97
2021-08-20,127.82,119.3,110.1,105.53,95.56
2021-08-23,127.0,117.26,111.74,106.46,97.38
2021-08-24,125.66,115.62,112.08,106.63,98.33
2021-08-25,125.18,115.34,112.21,106.85,98.68
2021-08-26,126.02,116.28,111.49,106.22,97.63
2021-08-27,122.32,112.42,112.57,107.17,100.38
2021-08-30,125.38,114.12,113.83,107.64,99.97
2021-08-31,124.82,113.42,113.74,107.48,100.17
2021-09-01,123.82,112.18,113.93,107.53,100.84
2021-09-02,122.34,111.42,113.88,107.86,101.54
2021-09-03,123.88,112.3,114.23,107.84,101.07
2021-09-07,125.54,112.96,114.39,107.45,100.37
2021-09-08,127.02,114.9,113.99,107.32,99.28
2021-09-09,126.44,114.14,113.6,106.86,99.23
2021-09-10,126.88,114.52,112.74,106.02,98.26
2021-09-13,125.6,113.9,112.66,106.29,98.82
2021-09-14,127.58,115.36,112.34,105.72,97.56
2021-09-15,127.26,115.24,113.17,106.61,98.44
2021-09-16,127.26,114.78,113.25,106.44,98.51
2021-09-17,124.64,111.94,111.92,105.07,98.64
2021-09-20,125.06,113.36,109.49,103.31,96.29
2021-09-21,125.0,112.88,109.62,103.22,96.43
2021-09-22,123.76,111.74,110.64,104.23,97.93
2021-09-23,122.06,110.64,111.66,105.5,99.66
2021-09-24,123.8,112.52,111.76,105.67,98.88
2021-09-27,119.16,108.9,110.86,105.36,100.39
2021-09-28,118.04,109.4,107.73,103.23,98.11
2021-09-29,118.14,110.16,107.55,103.41,97.9
2021-09-30,119.28,109.6,107.16,102.15,96.98
2021-10-01,117.3,108.76,107.82,103.36,98.54
2021-10-04,114.92,108.0,105.56,102.03,97.65
2021-10-05,116.92,109.38,106.98,103.09,97.99
2021-10-06,119.24,111.26,107.67,103.53,97.48
2021-10-07,118.0,109.9,108.66,104.42,98.98
2021-10-08,118.5,111.04,108.11,104.23,98.24
2021-10-11,118.1,110.74,107.28,103.48,97.68
2021-10-12,116.3,109.14,106.9,103.22,98.22
2021-10-13,116.96,108.92,107.76,103.59,98.68
2021-10-14,117.68,109.32,109.74,105.33,100.14
2021-10-15,119.56,111.46,110.43,106.13,99.83
2021-10-18,121.68,112.18,111.54,106.45,99.77
2021-10-19,122.46,112.98,112.39,107.27,100.14
2021-10-20,120.88,112.44,112.24,107.69,100.8
2021-10-21,121.58,112.44,112.92,107.97,101.06
2021-10-22,120.38,112.72,111.98,107.86,100.82
2021-10-25,120.52,111.9,113.12,108.44,101.77
2021-10-26,122.66,113.58,113.48,108.54,101.01
2021-10-27,126.8,116.38,113.74,108.06,99.15
2021-10-28,125.04,114.32,115.0,109.1,101.13
2021-10-29,126.08,114.78,115.57,109.32,101.1
2021-11-01,121.58,109.94,115.96,109.5,103.71
2021-11-02,122.0,110.32,116.45,109.94,103.93
2021-11-03,120.54,107.96,117.68,110.61,105.79
2021-11-04,123.18,108.98,119.19,111.13,105.75
2021-11-05,120.64,106.94,119.31,111.52,107.2
2021-11-08,119.74,106.5,119.14,111.62,107.53
2021-11-09,119.52,107.0,118.32,111.25,106.91
2021-11-10,119.74,108.56,116.58,110.36,105.22
2021-11-11,118.68,107.02,116.89,110.4,106.06
2021-11-12,120.58,108.32,118.12,111.22,106.17
2021-11-15,121.34,109.18,118.1,111.26,105.74
2021-11-16,122.4,109.62,118.94,111.7,105.93
2021-11-17,125.12,111.76,119.0,111.43,104.54
2021-11-18,128.04,113.28,120.23,111.81,104.1
2021-11-19,130.98,114.74,120.91,111.61,103.16
2021-11-22,129.52,115.04,119.5,111.3,102.71
2021-11-23,128.94,115.64,118.95,111.44,102.54
2021-11-24,129.36,115.96,119.33,111.74,102.65
2021-11-26,133.1,119.04,117.07,109.25,98.78
2021-11-29,137.56,121.62,119.61,110.6,98.72
2021-11-30,138.7,121.8,117.85,108.44,96.71
2021-12-01,139.8,124.08,115.85,107.24,94.53
2021-12-02,135.66,121.56,116.68,108.88,97.17
2021-12-03,136.28,123.92,114.65,107.93,95.18
2021-12-06,133.86,122.26,115.57,109.2,97.09
2021-12-07,135.24,121.76,119.05,111.46,99.34
2021-12-08,134.78,120.92,119.58,111.75,100.02
2021-12-09,136.36,124.08,117.82,110.99,97.76
2021-12-10,139.1,126.52,119.11,112.04,97.49
2021-12-13,139.72,128.26,117.38,111.04,95.77
2021-12-14,139.38,128.6,116.17,110.27,94.95
2021-12-15,140.76,128.54,118.82,111.99,96.46
2021-12-16,139.66,130.82,115.77,111.01,94.51
2021-12-17,136.82,126.16,115.19,109.44,95.38
2021-12-20,137.42,126.84,113.92,108.28,94.04
2021-12-21,136.18,124.68,116.47,110.21,96.73
2021-12-22,136.7,124.76,117.89,111.31,97.66
2021-12-23,136.6,124.4,118.78,112.0,98.44
2021-12-27,138.02,125.36,120.74,113.59,99.37
2021-12-28,138.32,126.42,120.18,113.5,98.76
2021-12-29,138.08,126.46,120.17,113.65,98.87
2021-12-30,137.54,125.96,119.81,113.33,98.84
2021-12-31,136.74,125.9,119.07,113.05,98.62
2022-01-03,136.08,124.48,120.21,113.7,99.89
2022-01-04,133.78,124.72,118.65,113.67,99.74
2022-01-05,134.42,127.66,115.0,111.49,96.36
2022-01-06,133.14,126.34,114.92,111.39,96.91
2022-01-07,133.3,127.86,113.68,110.94,95.79
2022-01-10,134.14,128.32,113.76,110.81,95.45
2022-01-11,135.02,128.02,115.47,111.82,96.46
2022-01-12,137.3,130.04,115.93,112.12,95.75
2022-01-13,134.14,129.12,113.03,110.57,94.87
2022-01-14,135.1,128.92,113.73,110.62,95.0
2022-01-18,136.16,131.42,110.9,108.66,92.13
2022-01-19,137.22,132.6,109.68,107.53,90.63
2022-01-20,138.24,134.0,108.26,106.33,88.99
2022-01-21,136.44,133.82,105.26,104.25,87.33
2022-01-24,132.76,130.06,105.74,104.69,89.34
2022-01-25,130.78,130.28,103.29,103.41,88.15
2022-01-26,133.34,132.66,103.12,103.15,86.88
2022-01-27,135.86,136.22,102.08,102.65,84.91
2022-01-28,138.24,137.28,105.29,105.19,86.56
2022-01-31,138.5,134.74,108.66,107.09,89.22
2022-02-01,137.76,134.0,109.39,107.81,90.16
2022-02-02,141.36,137.92,110.28,108.86,89.26
2022-02-03,137.02,137.0,105.8,106.3,87.58
2022-02-04,138.68,137.08,107.14,106.8,87.95
2022-02-07,136.1,135.46,106.28,106.46,88.38
2022-02-08,134.92,133.68,107.47,107.33,89.9
2022-02-09,135.36,132.8,109.75,108.9,91.6
2022-02-10,133.9,132.26,107.27,106.94,90.2
2022-02-11,129.58,130.34,103.87,104.83,89.29
2022-02-14,130.52,130.38,103.99,104.49,88.98
