Portfolio,Date,Type,Performance (%)
P1_QQQ_vs_IWM,2021-06-17,Best Day,4.76
P1_QQQ_vs_IWM,2023-05-25,Best Day,4.28
P1_QQQ_vs_IWM,2021-06-10,Best Day,4.0
P1_QQQ_vs_IWM,2021-07-02,Best Day,3.94
P1_QQQ_vs_IWM,2023-03-13,Best Day,3.89
P1_QQQ_vs_IWM,2021-06-28,Best Day,3.88
P1_QQQ_vs_IWM,2021-07-22,Best Day,3.79
P1_QQQ_vs_IWM,2024-07-11,Worst Day,-5.7
P1_QQQ_vs_IWM,2022-10-26,Worst Day,-4.66
P1_QQQ_vs_IWM,2023-06-07,Worst Day,-4.28
P1_QQQ_vs_IWM,2021-09-27,Worst Day,-3.75
P1_QQQ_vs_IWM,2023-11-14,Worst Day,-3.65
P1_QQQ_vs_IWM,2024-07-16,Worst Day,-3.61
P1_QQQ_vs_IWM,2021-11-01,Worst Day,-3.57
P2_SPY_vs_IWM,2024-02-13,Best Day,3.63
P2_SPY_vs_IWM,2021-07-02,Best Day,3.44
P2_SPY_vs_IWM,2021-07-22,Best Day,3.29
P2_SPY_vs_IWM,2021-07-14,Best Day,3.08
P2_SPY_vs_IWM,2022-02-02,Best Day,2.93
P2_SPY_vs_IWM,2021-07-13,Best Day,2.88
P2_SPY_vs_IWM,2021-06-10,Best Day,2.82
P2_SPY_vs_IWM,2024-07-11,Worst Day,-5.18
P2_SPY_vs_IWM,2023-11-14,Worst Day,-4.39
P2_SPY_vs_IWM,2021-11-01,Worst Day,-4.22
P2_SPY_vs_IWM,2024-11-06,Worst Day,-4.21
P2_SPY_vs_IWM,2021-12-17,Worst Day,-3.56
P2_SPY_vs_IWM,2024-07-16,Worst Day,-3.56
P2_SPY_vs_IWM,2023-06-06,Worst Day,-3.33
P3_Long_QQQ,2025-04-09,Best Day,12.0
P3_Long_QQQ,2022-11-10,Best Day,7.38
P3_Long_QQQ,2022-11-30,Best Day,4.56
P3_Long_QQQ,2022-07-27,Best Day,4.22
P3_Long_QQQ,2025-05-12,Best Day,4.07
P3_Long_QQQ,2022-03-16,Best Day,3.71
P3_Long_QQQ,2022-05-13,Best Day,3.7
P3_Long_QQQ,2025-04-04,Worst Day,-6.21
P3_Long_QQQ,2022-09-13,Worst Day,-5.48
P3_Long_QQQ,2025-04-03,Worst Day,-5.35
P3_Long_QQQ,2022-05-05,Worst Day,-5.04
P3_Long_QQQ,2022-05-18,Worst Day,-4.91
P3_Long_QQQ,2022-06-13,Worst Day,-4.65
P3_Long_QQQ,2022-04-29,Worst Day,-4.5
P4_Long_SPY,2025-04-09,Best Day,10.5
P4_Long_SPY,2022-11-10,Best Day,5.5
P4_Long_SPY,2025-05-12,Best Day,3.3
P4_Long_SPY,2022-06-24,Best Day,3.18
P4_Long_SPY,2022-11-30,Best Day,3.15
P4_Long_SPY,2022-10-04,Best Day,3.1
P4_Long_SPY,2022-05-04,Best Day,3.05
P4_Long_SPY,2025-04-04,Worst Day,-5.85
P4_Long_SPY,2025-04-03,Worst Day,-4.93
P4_Long_SPY,2025-04-10,Worst Day,-4.38
P4_Long_SPY,2022-09-13,Worst Day,-4.35
P4_Long_SPY,2022-05-18,Worst Day,-4.03
P4_Long_SPY,2022-06-13,Worst Day,-3.8
P4_Long_SPY,2022-04-29,Worst Day,-3.7
P5_Long_IWM,2025-04-09,Best Day,8.5
P5_Long_IWM,2022-11-10,Best Day,6.16
P5_Long_IWM,2024-11-06,Best Day,5.79
P5_Long_IWM,2023-11-14,Best Day,5.49
P5_Long_IWM,2022-10-04,Best Day,3.96
P5_Long_IWM,2023-06-02,Best Day,3.63
P5_Long_IWM,2024-07-11,Best Day,3.59
P5_Long_IWM,2025-04-03,Worst Day,-6.42
P5_Long_IWM,2022-06-13,Worst Day,-4.7
P5_Long_IWM,2022-06-16,Worst Day,-4.63
P5_Long_IWM,2025-04-04,Worst Day,-4.46
P5_Long_IWM,2024-12-18,Worst Day,-4.43
P5_Long_IWM,2022-05-09,Worst Day,-4.21
P5_Long_IWM,2025-04-10,Worst Day,-4.2
